#OTU ID	taxonomy
seq_1	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_2	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_3	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_4	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_5	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_6	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_7	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_8	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_9	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_10	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_11	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_12	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_13	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_14	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_15	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_16	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_17	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_18	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_19	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_20	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_21	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_22	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_23	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_24	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_25	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_26	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_27	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_28	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_29	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_30	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_31	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_32	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_33	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_34	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_35	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_36	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_37	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_38	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_39	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_40	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_41	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_42	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_43	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_44	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_45	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_46	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_47	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_48	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_49	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_50	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_51	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_52	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_53	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_54	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_55	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_56	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_57	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_58	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_59	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_60	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_61	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_62	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_63	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_64	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_65	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_66	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_67	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_68	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_69	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_70	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_71	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_72	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_73	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_74	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_75	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_76	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_77	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_78	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_79	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_80	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_81	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_82	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_83	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_84	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_85	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_86	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_87	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_88	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_89	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_90	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_91	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_92	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_93	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_94	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_95	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_96	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_97	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_98	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_99	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_100	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_101	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_102	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_103	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_104	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_105	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_106	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_107	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_108	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_109	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_110	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_111	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_112	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_113	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_114	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_115	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_116	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_117	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_118	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_119	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_120	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_121	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_122	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_123	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_124	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_125	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_126	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_127	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_128	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_129	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_130	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_131	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_132	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_133	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_134	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_135	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_136	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_137	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_138	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_139	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_140	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_141	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_142	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_143	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_144	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_145	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_146	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_147	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_148	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_149	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_150	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_151	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_152	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_153	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_154	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_155	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_156	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_157	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_158	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_159	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_160	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_161	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_162	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_163	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_164	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_165	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_166	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_167	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_168	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_169	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_170	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_171	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_172	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_173	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_174	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_175	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_176	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_177	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_178	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_179	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_180	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_181	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_182	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_183	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_184	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_185	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_186	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_187	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_188	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_189	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_190	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_191	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_192	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_193	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_194	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_195	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_196	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_197	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_198	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_199	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_200	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_201	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_202	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_203	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_204	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_205	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_206	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_207	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_208	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_209	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_210	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_211	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_212	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_213	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_214	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_215	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_216	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_217	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_218	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_219	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_220	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_221	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_222	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_223	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_224	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_225	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_226	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_227	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_228	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_229	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_230	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_231	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_232	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_233	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_234	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_235	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_236	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_237	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_238	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_239	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_240	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
