Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,plant_body_site,Platform,ReleaseDate,samp_mat_process,Sample Name,source_material_ID,SRA Study
SRR6658399,AMPLICON,600,36162565,PRJNA430505,SAMN08428078,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",24094570,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635822,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.H16_sample11,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,11_Epi_WH_Fall_2014_plant11,11,SRP131882
SRR6658400,AMPLICON,597,281786,PRJNA430505,SAMN08428360,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",237008,UNIVERSITY OF TUEBINGEN,05-Dec-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,residencial building,plant matter,SRX3635821,Germany,Europe,Germany: Ergenzingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.506827 N 8.936418 E,BacV3.H17_sample293,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,293_Epi_ERG_Fall_2016_plant34,293,SRP131882
SRR6658401,AMPLICON,600,27980665,PRJNA430505,SAMN08428208,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",19163670,UNIVERSITY OF TUEBINGEN,27-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,railway,plant matter,SRX3635820,Germany,Europe,Germany: Eyach,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.F13_sample141,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,141_Epi_EY_Spring_2016_plant27,141,SRP131882
SRR6658402,AMPLICON,600,59714662,PRJNA430505,SAMN08428302,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",40072503,UNIVERSITY OF TUEBINGEN,01-Dec-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of cropland,farm,plant matter,SRX3635819,Germany,Europe,Germany: Tuebingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.F12_sample235,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,235_Endo_PFN_Fall_2015_plant13,235,SRP131882
SRR6658403,AMPLICON,600,948029,PRJNA430505,SAMN08428353,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",685677,UNIVERSITY OF TUEBINGEN,27-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,public road,plant matter,SRX3635818,Germany,Europe,"Germany: Tuebingen\, road K6911",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.H12_sample286,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,286_Epi_K6911_Spring_2016_plant10,286,SRP131882
SRR6658404,AMPLICON,600,47472830,PRJNA430505,SAMN08428112,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",32036160,UNIVERSITY OF TUEBINGEN,27-Mar-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635817,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.H13_sample45,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,45_Epi_WH_Spring_2016_plant27,45,SRP131882
SRR6658405,AMPLICON,601,44920027,PRJNA430505,SAMN08428435,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",32548509,UNIVERSITY OF TUEBINGEN,19-Mar-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of cropland,farm,plant matter,SRX3635816,Germany,Europe,Germany: Tuebingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C31_sample370,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,370_Endo_PFN_Spring_2015_plant7,370,SRP131882
SRR6658406,AMPLICON,601,11986970,PRJNA430505,SAMN08428395,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8773608,UNIVERSITY OF TUEBINGEN,05-Dec-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,public road,plant matter,SRX3635815,Germany,Europe,"Germany: Rottenburg am Neckar\, Wendelsheim",Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C32_sample328,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of endophytic microbes,328_Endo_WH_Fall_2016_plant32,328,SRP131882
SRR6658407,AMPLICON,601,34947038,PRJNA430505,SAMN08428103,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",25335727,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with high usage intensity,residencial building,plant matter,SRX3635814,Germany,Europe,Germany: Ergenzingen,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C24_sample36,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,36_Epi_ERG_Fall_2014_plant10,36,SRP131882
SRR6658408,AMPLICON,601,40301546,PRJNA430505,SAMN08428192,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",29312401,UNIVERSITY OF TUEBINGEN,03-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,area of developed space with low usage intensity,railway,plant matter,SRX3635813,Germany,Europe,Germany: Eyach,Arabidopsis thaliana,Illumina MiSeq,missing,48.541272 N 9.092683 E,BacV3.C25_sample125,PAIRED,PCR,METAGENOMIC,phyllosphere metagenome,vegetative shoot system,ILLUMINA,2018-06-26T00:00:00Z,Collection of epiphytic microbes,125_Epi_EY_Fall_2014_plant11,125,SRP131882
