Tour_ID	Site_ID	Site_Name	Plant_ID	Correct_Species	For	Lat	Long	HpA_plant	HpA_where	HpA_site	Albugo_tour	Developmental_state	R_diameter	Rosette_color	Herbivory	Disease_RL	Ath-Ath	Ath-other	Growing_on	Humidity_ground	Slope	Sun	Site_type	Site_category	Slope	Sun	Aspect	Ground_cover	Ground_type	Humidity_ground	Heterogeneity	Strata_herbs	Strata_shrubs	Strata_trees	Strata_wall_shrub	Strata_wall_tree	Strata_road	Strata_water	Elevation	Date	Time	Air_temp	Air_hum	Soil_temp	Soil_hum	Pop_size
SPS	P0002	Vdc	PA0001		M	38.04972	-5.0303	0		1	0	2	3	1, 5	1	1	3	3	5, 7	3	1	3	1	4	1	2	A	2	3, 4	2	1	55		30			15		573	20180215	14:45	21.6	44	12	17.98	30
SPS	P0002	Vdc	PA0004		M	38.04972	-5.0303	0		1	0	2	3	1, 5	1	1	6	3	4, 7	2	1	3	1	4	1	2	A	2	3, 4	2	1	55		30			15		573	20180215	14:45	21.6	44	12	17.98	30
SPS	P0003	Mon	PA0007		M	38.06156	-4.38364	0		1	0	2	2	1	1	1	n/a	n/a	n/a	n/a	n/a	n/a	5	2	3	2	E	n/a	n/a	n/a	n/a	25	20	25	15		15		302	20180216	11:40	21.7	50.3	19.7	5.05	15
SPS	P0003	Mon	PA0010		M	38.06156	-4.38364	0		1	0	2	2	1, 5	2	1	n/a	n/a	n/a	n/a	n/a	n/a	5	2	3	2	E	n/a	n/a	n/a	n/a	25	20	25	15		15		302	20180216	11:40	21.7	50.3	19.7	5.05	15
SPS	P0004	Marmolejo	PA0013		M	38.05734	-4.19322	0		1	0	2	2	1, 5	1	1	3	3	7	2	1	3	5	2	2	3	S, W	3	3, 4	2	1	70		30					213	20180216	14:40	31.6	33	24.3	2.89	5000
SPS	P0004	Marmolejo	PA0016		M	38.05728	-4.19298	0		1	0	2	3	1	2	1	6	5	6, 7	1	2	3	5	2	2	3	S, W	3	3, 4	2	1	70		30					213	20180216	14:40	31.6	33	24.3	2.89	5000
SPS	P0004	Marmolejo	PA0019		M	38.05717	-4.19322	1		1	0	2	2	1, 2	1	2	6	2	6, 7	2	1	3	5	2	2	3	S, W	3	3, 4	2	1	70		30					213	20180216	14:40	31.6	33	24.3	2.89	5000
SPS	P0005	Lso	PA0022		M	38.85756	-3.16225	0		0	0	1	2	1	3	1	5	4	3	2	2	2	1	4	2	1	S, W	3	2	2	1	50	20	15			15		764	20180217	13:50	20.5	48.1	20.5	2.86	30
SPS	P0005	Lso	PA0025		M	38.85756	-3.16225	0		0	0	2	1	1, 5	2	1	5	3	3	2	2	2	1	4	2	1	S, W	3	2	2	1	50	20	15			15		764	20180217	13:50	20.5	48.1	20.5	2.86	30
SPS	P0006	Rel	PA0028		M	38.60214	-2.70252	0		1	0	1	2	1	1	1	5	5	6	2	2	2	1	4	3	2	W	3	2	3	1	25	50	5			20		1028	20180217	17:50	16.5	45.2	15.3	2.91	100
