Tour_ID	Site.ID	Site.name	Latitude	Longitude	Date	Time	Climate_classification	rndCoord.lon	rndCoord.lat
SPS	P0002	Vdc	38.04972	-5.0303	20180215		Csa	-5.25	38.25
SPS	P0003	Mon	38.06156	-4.38364	20180216	11:40	Csa	-4.25	38.25
SPS	P0004	Marmolejo	38.05734	-4.19322	20180216	14:40	Csa	-4.25	38.25
SPS	P0005	Lso	38.85756	-3.16225	20180217	13:50	Csa	-3.25	38.75
SPS	P0006	Rel	38.60214	-2.70252	20180217	17:50	Csa	-2.75	38.75
SPS	P0007	Mdc	38.87526	-3.52762	20180218	14:20	Csa	-3.75	38.75
SPS	P0008	Mar	39.58164	-3.9288	20180219	17:10	BSk	-3.75	39.75
SPS	P0009	Cmo	40.04821	-4.65227	20180220	13:24	Csb	-4.75	40.25
SPS	P0010	Ali	39.72537	-5.74386	20180220	18:41	Csa	-5.75	39.75
SPS	P0011	Her	39.39484	-5.78286	20180221	10:20	Csa	-5.75	39.25
SPS	P0012	Zaz	39.25705	-6.03331	20180221	12:46	Csa	-6.25	39.25
SPS	P0013	Tsm	39.22976	-6.07479	20180221	16:10	Csa	-6.25	39.25
SPS	P0014	Mot	38.19125	-6.23774	20180221	19:11	Csa	-6.25	38.25
ITA	P0015	Madonna_de_Vizzini	37.16769	14.7722	20180304	13:20	Csa	14.75	37.25
ITA	P0016	Etna	37.68949	15.09558	20180305	09:50	Csa	15.25	37.75
ITA	P0017	Melic	38.45387	16.03774	20180305	15:14	Csa	16.25	38.25
ITA	P0018	Giffo	38.43953	16.133331	20180305	17.02	Csa	16.25	38.25
ITA	P0019	Angel	38.619249	16.169818	20180306	07:59	Csa	16.25	38.75
ITA	P0020	Angit	38.760166	16.234963	20180306	09:51	Csa	16.25	38.75
ITA	P0021	Nicas	38.96973	16.3407	20180306	12:12	Csa	16.25	38.75
ITA	P0022	Bivio	39.129334	16.167818	20180306	14:55	Csa	16.25	39.25
ITA	P0023	Timpo	39.26974	16.27086	20180306	17:20	Csa	16.25	39.25
ITA	P0024	Bisig	39.48333	16.2784	20180307	09:00	Csa	16.25	39.25
