Site_ID Long Lat rndCoord.lon rndCoord.lat ClimateZ
1 P0002 -5.0303 38.04972 -5.25 38.25 Csa
2 P0003 -4.38364 38.06156 -4.25 38.25 Csa
3 P0004 -4.19322 38.05734 -4.25 38.25 Csa
4 P0005 -3.16225 38.85756 -3.25 38.75 Csa
5 P0006 -2.70252 38.60214 -2.75 38.75 Csa
6 P0007 -3.52762 38.87526 -3.75 38.75 Csa
7 P0008 -3.9288 39.58164 -3.75 39.75 BSk
8 P0009 -4.65227 40.04821 -4.75 40.25 Csb
9 P0010 -5.74386 39.72537 -5.75 39.75 Csa
10 P0011 -5.78286 39.39484 -5.75 39.25 Csa
11 P0012 -6.03331 39.25705 -6.25 39.25 Csa
12 P0013 -6.07479 39.22976 -6.25 39.25 Csa
13 P0014 -6.23774 38.19125 -6.25 38.25 Csa
14 P0015 14.7722 37.16769 14.75 37.25 Csa
15 P0016 15.09558 37.68949 15.25 37.75 Csa
16 P0017 16.03774 38.45387 16.25 38.25 Csa
17 P0018 16.133331 38.43953 16.25 38.25 Csa
18 P0019 16.169818 38.619249 16.25 38.75 Csa
19 P0020 16.234963 38.760166 16.25 38.75 Csa
20 P0021 16.3407 38.96973 16.25 38.75 Csa
21 P0022 16.167818 39.129334 16.25 39.25 Csa
22 P0023 16.27086 39.26974 16.25 39.25 Csa
23 P0024 16.2784 39.48333 16.25 39.25 Csa
24 P0025 16.72877 40.34001 16.75 40.25 Csa
25 P0026 16.44843 40.18058 16.25 40.25 Csa
26 P0028 14.86878 40.67525 14.75 40.75 Csa
27 P0029 14.57942 40.83693 14.75 40.75 Csa
28 P0030 14.17522 41.17051 14.25 41.25 Csa
29 P0031 13.77876 41.42244 13.75 41.25 Csa
30 P0032 12.8714 41.61725 12.75 41.75 Csa
31 P0033 12.094183 42.002415 12.25 42.25 Csa
32 P0034 48.55928 38.97857 48.75 38.75 Csa
33 P0035 48.55284 38.97427 48.75 38.75 Csa
34 P0036 48.84103 38.7354 48.75 38.75 Csa
35 P0037 48.612486 38.740406 48.75 38.75 Csa
36 P0038 48.551718 38.783494 48.75 38.75 Csa
37 P0039 48.80046 38.65625 48.75 38.75 Csa
38 P0040 48.81895 38.88007 48.75 38.75 Csa
39 P0042 46.281275 41.838086 46.25 41.75 Dfb
40 P0042 46.28318 41.82686 46.25 41.75 Dfb
