Tour_ID Site_ID Site_name Lat Long HpA_site Elevation Date Time Air_temp Air_hum Soil_temp Soil_hum Pop_size rndCoord.lon rndCoord.lat ClimateZ
SPS P0002 Vdc 38.04972 -5.0303 1 573 20180215  21.6 44 12 17.98 30 -5.25 38.25 Csa
SPS P0003 Mon 38.06156 -4.38364 1 302 20180216 11:40 21.7 50.3 19.7 5.05 15 -4.25 38.25 Csa
SPS P0004 Marmolejo 38.05734 -4.19322 1 213 20180216 14:40 31.6 33 24.3 2.89 5000 -4.25 38.25 Csa
SPS P0005 Lso 38.85756 -3.16225 0 764 20180217 13:50 20.5 48.1 20.5 2.86 30 -3.25 38.75 Csa
SPS P0006 Rel 38.60214 -2.70252 1 1028 20180217 17:50 16.5 45.2 15.3 2.91 100 -2.75 38.75 Csa
SPS P0007 Mdc 38.87526 -3.52762 0 726 20180218 14:20 29.3 28.1 16.1 2.86 100 -3.75 38.75 Csa
SPS P0008 Mar 39.58164 -3.9288 0 969 20180219 17:10 16 49.7 16.3 2.89 100 -3.75 39.75 BSk
SPS P0009 Cmo 40.04821 -4.65227 1 393 20180220 13:24 27.4 35.8 20.1 2.86 100 -4.75 40.25 Csb
SPS P0010 Ali 39.72537 -5.74386 0 451 20180220 18:41 16.8 52.8 9.6 2.89 100 -5.75 39.75 Csa
SPS P0011 Her 39.39484 -5.78286 1 577 20180221 10:20 7.4 68.9 n/a n/a 50 -5.75 39.25 Csa
SPS P0012 Zaz 39.25705 -6.03331 0 449 20180221 12:46 18.7 39 n/a n/a 30 -6.25 39.25 Csa
SPS P0013 Tsm 39.22976 -6.07479 0 536 20180221 16:10 23.1 26.8 16.9 2.74 100 -6.25 39.25 Csa
SPS P0014 Mot 38.19125 -6.23774 0 520 20180221 19:11 14.3 37.5 12.6 2.89 30 -6.25 38.25 Csa
ITA P0015 Madonna_de_Vizzini 37.16769 14.7722 0 668 20180304 13:20 18.3 50.4 15.2 7.11 100 14.75 37.25 Csa
ITA P0016 Etna 37.68949 15.09558 0 723 20180305 9:50 19.8 60.6 18.8 4.11 200 15.25 37.75 Csa
ITA P0017 Melic 38.45387 16.03774 1 104 20180305 15:14 18 66.8 14.4 12.44 10000 16.25 38.25 Csa
ITA P0018 Giffo 38.43953 16.133331 1 403 20180305 17.02 15.1 69.1 12.1 1.93 200 16.25 38.25 Csa
ITA P0019 Angel 38.619249 16.169818 0 269 20180306 7:59 16.3 63.1 11.8 13.84 100 16.25 38.75 Csa
ITA P0020 Angit 38.760166 16.234963 1 22 20180306 9:51 16.8 69.7 13 26.5 5000 16.25 38.75 Csa
ITA P0021 Nicas 38.96973 16.3407 1 325 20180306 12:12 17.7 63.2 14.3 15.73 10000 16.25 38.75 Csa
ITA P0022 Bivio 39.129334 16.167818 1 421 20180306 14:55 16.8 67.8 13.7 5.65 10000 16.25 39.25 Csa
ITA P0023 Timpo 39.26974 16.27086 1 438 20180306 17:20 12.5 73.2 10.2 17.25 10000 16.25 39.25 Csa
ITA P0024 Bisig 39.48333 16.2784 1 180 20180307 9:00 19.4 61.7 15.6 8.46 100000 16.25 39.25 Csa
ITA P0025 Basen 40.34001 16.72877 1 44 20180307 14:08 20 50.4 18.2 18.58 5000 16.75 40.25 Csa
ITA P0026 Valsi 40.18058 16.44843 0 126 20180307 17:05 17.9 49.1 13.6 6.22 1000 16.25 40.25 Csa
ITA P0028 Filet 40.67525 14.86878 0 70 20180308 12:22 20.2 52.4 21.9 13.58 300 14.75 40.75 Csa
ITA P0029 Sarno 40.83693 14.57942 1 53 20180308 15:22 19.4 51.9 16.9 7.57 300 14.75 40.75 Csa
ITA P0030 Pigna 41.17051 14.17522 1 55 20180309 7:36 13.5 67.9 9.9 8.27 1000 14.25 41.25 Csa
ITA P0031 Liri 41.42244 13.77876 0 34 20180309 10:56 20.8 56.1 27.4 15.93 100 13.75 41.25 Csa
ITA P0032 Ciste 41.61725 12.8714 0 96 20180309 16:04 19.5 55.2 16.4 26.74 100 12.75 41.75 Csa
ITA P0033 Cerve 42.002415 12.094183 0 66 20180310 10:14 15.8 72.8 15.6 28.85 200 12.25 42.25 Csa
AAG P0034 Istisu 38.97857 48.55928 0 93 20180324 15:31 17.4 59.1 14.4 12.08 200 48.75 38.75 Csa
AAG P0035 Istisu2 38.97427 48.55284 1 94 20180324 18:23 14.3 72.1 12.3 13.8 200 48.75 38.75 Csa
AAG P0036 Valedi 38.7354 48.84103 1 -14 20180325 9:52     200 48.75 38.75 Csa
AAG P0037 Lerik1 38.740406 48.612486 1 278 20180325 11:18 14.3 72 14 10.79 5000 48.75 38.75 Csa
AAG P0038 Lerik2 38.783494 48.551718 1 400 20180325 12:37 15.9 71 13.5 15.06 10000 48.75 38.75 Csa
AAG P0039 Xanbulan 38.65625 48.80046 1 25 20180325 15:47 18.1 61 14.7 16.47 50000 48.75 38.75 Csa
