Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ
AAG	P0034	PA0505	0	1	0	M	38.97878	48.55923	0	93	48.75	38.75	Csa
AAG	P0034	PA0506	0	1	0	M	38.97878	48.55923	0	93	48.75	38.75	Csa
AAG	P0034	PC0007	0	0	NA	M	38.97878	48.55923	0	93	48.75	38.75	Csa
AAG	P0035	PA0513	0	0	NA	M	38.97427	48.55284	1	94	48.75	38.75	Csa
AAG	P0035	PA0514	0	0	NA	M	38.97427	48.55284	1	94	48.75	38.75	Csa
AAG	P0035	PC0008	0	0	NA	M	38.97427	48.55284	1	94	48.75	38.75	Csa
AAG	P0037	PA0521	0	NA	NA	M	38.74044	48.61248	1	278	48.75	38.75	Csa
AAG	P0037	PA0523	0	NA	NA	M	38.74044	48.61248	1	278	48.75	38.75	Csa
AAG	P0038	PA0529	0	NA	NA	M	38.78307	48.55154	1	400	48.75	38.75	Csa
AAG	P0038	PA0531	0	NA	NA	M	38.78307	48.55154	1	400	48.75	38.75	Csa
AAG	P0039	PA0535	0	NA	NA	M	38.65625	48.80046	1	25	48.75	38.75	Csa
AAG	P0039	PA0537	0	NA	NA	M	38.65625	48.80046	1	25	48.75	38.75	Csa
AAG	P0040	PA0543	0	NA	NA	M	38.88007	48.81895	0	-30	48.75	38.75	Csa
AAG	P0040	PA0545	0	NA	NA	M	38.88007	48.81895	0	-30	48.75	38.75	Csa
AAG	P0040	PC0009	0	NA	NA	M	38.88007	48.81895	0	-30	48.75	38.75	Csa
AAG	P0042	PA0557	0	0	NA	M	41.82686	46.28318	0	479	46.25	41.75	Dfb
AAG	P0042	PA0560	0	0	NA	M	41.82686	46.28318	0	479	46.25	41.75	Dfb
AAG	P0042	PC0011	0	NA	NA	M	41.82686	46.28318	0	479	46.25	41.75	Dfb
AAG	P0043	PA0550	0	0	NA	M	41.84047	46.28331	1	549	46.25	41.75	Dfb
AAG	P0043	PA0555	0	1	NA	M	41.84047	46.28331	1	549	46.25	41.75	Dfb
AAG	P0043	PC0010	0	NA	NA	M	41.84047	46.28331	1	549	46.25	41.75	Dfb
AAG	P0044	PA0569	0	0	NA	M	41.79564	43.46844	0	1279	43.25	41.75	Dfb
AAG	P0044	PA0570	0	0	NA	M	41.79564	43.46844	0	1279	43.25	41.75	Dfb
AAG	P0045	PA0575	0	NA	NA	M	42.078	43.47482	0	794	43.25	42.25	Cfb
AAG	P0045	PA0576	0	NA	NA	M	42.078	43.47482	0	794	43.25	42.25	Cfb
AAG	P0046	PA0577	0	NA	NA	M	42.09771	43.40454	1	465	43.25	42.25	Cfb
AAG	P0046	PA0581	0	NA	NA	M	42.09771	43.40454	1	465	43.25	42.25	Cfb
AAG	P0046	PC0013	0	NA	NA	M	42.09771	43.40454	1	465	43.25	42.25	Cfb
AAG	P0047	PA0598	0	0	NA	M	42.09343	42.78043	0	198	42.75	42.25	Cfa
AAG	P0048	PA0583	0	NA	NA	M	42.10529	43.03828	1	158	43.25	42.25	Cfb
AAG	P0048	PA0588	0	NA	NA	M	42.10529	43.03828	1	158	43.25	42.25	Cfb
AAG	P0048	PC0014	0	NA	NA	M	42.10529	43.03828	1	158	43.25	42.25	Cfb
AAG	P0117	PA0453	0	0	NA	M	42.09429	42.5108	0	49	42.75	42.25	Cfa
AAG	P0117	PC0015	0	0	NA	M	42.09429	42.5108	0	49	42.75	42.25	Cfa
AAG	P0118	PA0455	0	0	NA	M	42.32096	42.40599	0	102	42.25	42.25	Cfa
AAG	P0118	PC0016	0	0	NA	M	42.32096	42.40599	0	102	42.25	42.25	Cfa
BAL	P0169	PA0698	0	1	1	M	42.21926	24.16969	0	227	24.25	42.25	Cfb
BAL	P0169	PA0701	0	1	1	M	42.21926	24.16969	0	227	24.25	42.25	Cfb
BAL	P0169	PC0145	0	0	NA	M	42.21926	24.16969	0	227	24.25	42.25	Cfb
BAL	P0170	PA0704	0	0	0	M	41.84129	25.75353	0	225	25.75	41.75	Cfa
BAL	P0170	PC0146	0	0	0	M	41.84129	25.75353	0	225	25.75	41.75	Cfa
BAL	P0171	PA0706	0	0	0	M	41.82786	25.68699	1	172	25.75	41.75	Cfa
BAL	P0171	PA0707	0	0	1	M	41.82786	25.68699	1	172	25.75	41.75	Cfa
BAL	P0171	PC0147	0	NA	NA	M	41.82786	25.68699	1	172	25.75	41.75	Cfa
BAL	P0172	PA0713	0	0	1	M	41.55437	25.74722	0	591	25.75	41.75	Cfa
BAL	P0172	PA0716	0	0	1	M	41.55437	25.74722	0	591	25.75	41.75	Cfa
BAL	P0173	PA0719	0	0	0	M	41.53786	24.97745	1	782	24.75	41.75	Dfb
BAL	P0173	PA0722	0	0	0	M	41.53786	24.97745	1	782	24.75	41.75	Dfb
BAL	P0173	PC0148	0	NA	NA	M	41.53786	24.97745	1	782	24.75	41.75	Dfb
BAL	P0174	PA0726	0	0	0	M	41.67432	24.16228	0	1234	24.25	41.75	Dfb
BAL	P0174	PA0729	0	0	1	M	41.67432	24.16228	0	1234	24.25	41.75	Dfb
BAL	P0175	PA0732	0	0	0	M	41.61943	23.93737	1	1047	23.75	41.75	Cfb
BAL	P0175	PA0735	0	0	1	M	41.61943	23.93737	1	1047	23.75	41.75	Cfb
BAL	P0176	PA0738	0	0	0	M	41.57778	23.76864	1	496	23.75	41.75	Cfb
BAL	P0176	PA0741	0	0	1	M	41.57778	23.76864	1	496	23.75	41.75	Cfb
BAL	P0176	PC0149	NA	NA	1	M	41.57778	23.76864	1	496	23.75	41.75	Cfb
BAL	P0177	PA0744	0	0	1	M	41.58686	23.5561	1	1016	23.75	41.75	Cfb
BAL	P0177	PA0747	0	0	1	M	41.58686	23.5561	1	1016	23.75	41.75	Cfb
BAL	P0177	PC0150	0	NA	0	M	41.58686	23.5561	1	1016	23.75	41.75	Cfb
BAL	P0178	PA0751	0	0	1	M	41.53279	23.40075	1	435	23.25	41.75	Cfb
BAL	P0178	PA0754	0	0	1	M	41.53279	23.40075	1	435	23.25	41.75	Cfb
BAL	P0178	PC0151	0	NA	0	M	41.53279	23.40075	1	435	23.25	41.75	Cfb
BAL	P0180	PA0760	0	0	1	M	42.32156	23.09941	0	575	23.25	42.25	Dfb
