Sequence_ID	Tour_ID	Site_ID	Plant_ID	Albugo	Necrosis	Host_Species	ClimateZ	Land_cov	Site_name	Site_Name	Correct_Species	For	Lat	Long	HpA_plant	HpA_where	HpA_site	Albugo_tour	Developmental_state	R_diameter	Rosette_color	Herbivory	Disease_RL	Ath.Ath	Ath.other	Growing_on	Humidity_ground	Slope	Sun	Site_type	Site_category	Aspect	Ground_cover	Ground_type	Heterogeneity	Strata_herbs	Strata_shrubs	Strata_trees	Strata_wall_shrub	Strata_wall_tree	Strata_road	Strata_water	Elevation	Date	Air_temp	Air_hum	Soil_temp	Soil_hum	Pop_size	tmax	tmin	vap	ppt	srad	soil	ws	aet	def	PDSI	vpd	pet
PA0681.P0265.SS	SSD	P0265	PA0681	NA	NA	Soil	Cfb	130	Lund-1	Lund-1		M	55.71021	13.22014	0		0	0	4	2	5	2	1	6	4	3, 4	1	1	2	4	1	A	1	2, 4	1	25	10	10	15	10	30	NA	78	20180507	25.6	36.5	22.08	2.24	300	8.1	2.77142857142857	0.732857142857143	55.4285714285714	86.8571428571429	91.2857142857143	4.07142857142857	28.5714285714286	5.14285714285714	3.14285714285714	0.238571428571429	33.7142857142857
PA0682.P0265.SS	SSD	P0265	PA0682	NA	NA	Soil	Cfb	130	Lund-1	Lund-1		M	55.71021	13.22014	0		0	0	3	2	5	1	1	5	3	5, 3	1	1	2	4	1	A	1	2, 4	1	25	10	10	15	10	30	NA	78	20180507	25.6	36.5	22.08	2.24	300	8.1	2.77142857142857	0.732857142857143	55.4285714285714	86.8571428571429	91.2857142857143	4.07142857142857	28.5714285714286	5.14285714285714	3.14285714285714	0.238571428571429	33.7142857142857
PA0698.P0169.BAL	BAL	P0169	PA0698	NA	NA	Soil	Cfb	14	Zloc	Zloc		M	42.21926	24.16969	0		0	1	2	4	1, 5	3	5	1	5	1, 5	2	1	3	12	1	A	1	1	1	5	NA	NA	35	NA	60	NA	227	20180405	23.5	44.7	22.5	2.04	100	12.2428571428571	3.25714285714286	0.785714285714286	55.4285714285714	103.428571428571	74.5714285714286	1.88571428571429	37.7142857142857	4.14285714285714	1.85714285714286	0.384285714285714	41.8571428571429
PA0701.P0169.BAL	BAL	P0169	PA0701	NA	NA	Soil	Cfb	150	Zloc	Zloc		M	42.21926	24.16969	0		0	1	3	4	1, 3, 5, 6	2	NA	1	4	1, 5	2	1	3	12	1	A	1	1	1	5	NA	NA	35	NA	60	NA	227	20180405	23.5	44.7	22.5	2.04	100	12.2428571428571	3.25714285714286	0.785714285714286	55.4285714285714	103.428571428571	74.5714285714286	1.88571428571429	37.7142857142857	4.14285714285714	1.85714285714286	0.384285714285714	41.8571428571429
PA0706.P0171.BAL	BAL	P0171	PA0706	NA	NA	Soil	Cfa	150	Koren	Koren		M	41.82786	25.68699	0		1	0	3	5	1	3	1	5	1	6	1	1	1	11	2	A	2	3	1	75	5	NA	NA	NA	20	NA	172	20180406	24.1	47.3	22.7	1.35	10000	13.0571428571429	4.22857142857143	0.857142857142857	68.5714285714286	109.714285714286	83.5714285714286	2.21428571428571	39	5.28571428571429	1.38571428571429	0.364285714285714	44.1428571428571
PA0707.P0171.BAL	BAL	P0171	PA0707	NA	NA	Soil	Cfa	150	Koren	Koren		M	41.82786	25.68699	1	RL	1	0	3	5	1, 4	2	NA	6	4	6	1	1	1	11	2	A	2	3	1	75	5	NA	NA	NA	20	NA	172	20180406	24.1	47.3	22.7	1.35	10000	13.0571428571429	4.22857142857143	0.857142857142857	68.5714285714286	109.714285714286	83.5714285714286	2.21428571428571	39	5.28571428571429	1.38571428571429	0.364285714285714	44.1428571428571
PA0716.P0172.BAL	BAL	P0172	PA0716	NA	NA	Soil	Cfa	210	Sorbe	Sorbe		M	41.55437	25.74722	0		0	0	3	2	1, 5	2	3	6	1	3, 6	2	2	3	14	4	S, E	2	3, 4	1	15	5	65	NA	NA	15	NA	591	20180406	23.9	42.4	23.6	0.85	100	12.6714285714286	4.08571428571429	0.822857142857143	73.5714285714286	111.571428571429	102.714285714286	2.32857142857143	40.1428571428571	5.14285714285714	0.957142857142857	0.367142857142857	45.1428571428571
PA0719.P0173.BAL	BAL	P0173	PA0719	NA	NA	Soil	Dfb	210	Leska	Leska		M	41.53786	24.97745	0		1	0	2	3	1, 5	2	3	5	5	2, 4	2	3	2	1	4	W	1	1, 2	1	20	NA	20	NA	40	20	NA	782	20180407	16.1	36.1	18.1	0.14	50	10.3428571428571	2.2	0.692857142857143	71.4285714285714	110.857142857143	106.142857142857	2.74285714285714	38.8571428571429	4.42857142857143	0.442857142857143	0.335714285714286	43.2857142857143
PA0722.P0173.BAL	BAL	P0173	PA0722	NA	NA	Soil	Dfb	130	Leska	Leska		M	41.53786	24.97745	0		1	0	2	4	1	3	1	4	2	3, 5	2	3	2	1	4	W	1	1, 2	1	20	NA	20	NA	40	20	NA	782	20180407	16.1	36.1	18.1	0.14	50	10.3428571428571	2.2	0.692857142857143	71.4285714285714	110.857142857143	106.142857142857	2.74285714285714	38.8571428571429	4.42857142857143	0.442857142857143	0.335714285714286	43.2857142857143
PA0726.P0174.BAL	BAL	P0174	PA0726	NA	NA	Soil	Dfb	130	Sorbe2	Sorbe2		M	41.67432	24.16228	0		0	0	1	2	1, 5	2	1	6	1	6	3	3	4	14	4	S, W	4	3, 5	1	40	NA	55	5	NA	NA	NA	1234	20180408	24.1	28.6	17.6	0.36	20	8.11428571428571	0.0857142857142856	0.564285714285714	68.2857142857143	110	85.7142857142857	3.05714285714286	35	3.28571428571429	0.0142857142857143	0.32	38.1428571428571
PA0729.P0174.BAL	BAL	P0174	PA0729	NA	NA	Soil	Dfb	130	Sorbe2	Sorbe2		M	41.67432	24.16228	0		0	0	1	2	1	1	3	5	1	6, 7	3	3	4	14	4	S, W	4	3, 5	1	40	NA	55	5	NA	NA	NA	1234	20180408	24.1	28.6	17.6	0.36	20	8.11428571428571	0.0857142857142856	0.564285714285714	68.2857142857143	110	85.7142857142857	3.05714285714286	35	3.28571428571429	0.0142857142857143	0.32	38.1428571428571
