Genus	Species
Acetobacter	aceti
Acetobacter	pasteurianus
Acidovorax	anthurii
Acidovorax	avenae
Acidovorax	cattleyae
Acidovorax	citrulli
Acidovorax	konjaci
Acidovorax	oryzae
Acidovorax	valerianellae
Arthrobacter	ilicis
Bacillus	megaterium
Bacillus	pumilus
Brenneria	alni
Brenneria	goodwinii
Brenneria	nigrifluens
Brenneria	quercina
Brenneria	rubrifaciens
Brenneria	salicis
Burkholderia	andropogonis
Burkholderia	caryophylli
Burkholderia	cepacia
Burkholderia	gladioli
Burkholderia	glumae
Burkholderia	plantarii
Candidatus	Liberibacter
Candidatus	Liberibacter
Candidatus	Liberibacter
Candidatus	Liberibacter
Candidatus	Liberibacter
Candidatus	Phlomobacter
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Candidatus	Phytoplasma
Clavibacter	michiganensis
Clostridium	puniceum
Curtobacterium	flaccumfaciens
Dickeya	chrysanthemi
Dickeya	dadantii
Dickeya	dianthicola
Dickeya	dieffenbachiae
Dickeya	paradisiaca
Dickeya	zeae
Enterobacter	cancerogenus
Enterobacter	cloacae
Enterobacter	mori
Enterobacter	nimipressuralis
Enterobacter	pyrinus
Erwinia	amylovora
Erwinia	papayae
Erwinia	persicina
Erwinia	piriflorinigrans
Erwinia	psidii
Erwinia	pyrifoliae
Erwinia	rhapontici
Erwinia	tracheiphila
Erwinia	uzenensis
Ewingella	americana
Gibbsiella	quercinecans
Gluconobacter	oxydans
Herbaspirillum	rubrisubalbicans
Janthinobacterium	agaricidamnosum
Leifsonia	cynodontis
Leifsonia	xyli
Lonsdalea	quercina
Nocardia	vaccinii
Pantoea	agglomerans
Pantoea	allii
Pantoea	ananatis
Pantoea	citrea
Pantoea	cypripedii
Pantoea	stewartii
Pectobacterium	atrosepticum
Pectobacterium	betavasculorum
Pectobacterium	cacticida
Pectobacterium	carotovorum
Pectobacterium	cypripedii
Pectobacterium	wasabiae
Pseudomonas	agarici
Pseudomonas	amygdali
Pseudomonas	asplenii
Pseudomonas	avellanae
Pseudomonas	beteli
Pseudomonas	cannabina
Pseudomonas	caricapapayae
Pseudomonas	cichorii
Pseudomonas	cissicola
Pseudomonas	corrugata
Pseudomonas	costantinii
Pseudomonas	ficuserectae
Pseudomonas	flectens
Pseudomonas	fuscovaginae
Pseudomonas	hibiscicola
Pseudomonas	marginalis
Pseudomonas	mediterranea
Pseudomonas	meliae
Pseudomonas	palleroniana
Pseudomonas	salomonii
Pseudomonas	savastanoi
Pseudomonas	syringae
Pseudomonas	tremae
Pseudomonas	viridiflava
Ralstonia	solanacearum
Ralstonia	syzygii
Rathayibacter	iranicus
Rathayibacter	rathayi
Rathayibacter	toxicus
Rathayibacter	tritici
Rhizobacter	dauci
Rhizobium	larrymoorei
Rhizobium	nepotum
Rhizobium	radiobacter
Rhizobium	rhizogenes
Rhizobium	rubi
Rhizobium	skierniewicense
Rhizobium	vitis
Rhodococcus	fascians
Samsonia	erythrinae
Serratia	marcescens
Serratia	proteamaculans
Sphingomonas	melonis
Sphingomonas	suberifaciens
Spiroplasma	citri
Spiroplasma	kunkelii
Spiroplasma	phoeniceum
Streptomyces	acidiscabies
Streptomyces	albidoflavus
Streptomyces	candidus
Streptomyces	caviscabies
Streptomyces	collinus
Streptomyces	europaeiscabiei
Streptomyces	intermedius
Streptomyces	ipomoeae
Streptomyces	luridiscabiei
Streptomyces	niveiscabiei
Streptomyces	puniciscabiei
Streptomyces	reticuliscabei
Streptomyces	scabiei
Streptomyces	setonii
Streptomyces	steliiscabiei
Streptomyces	turgidiscabies
Streptomyces	wedmorensis
Tatumella	morbirosei
Tatumella	ptyseos
Xanthomonas	albilineans
Xanthomonas	alfalfae
Xanthomonas	arboricola
Xanthomonas	axonopodis
Xanthomonas	bromi
Xanthomonas	campestris
Xanthomonas	cassavae
Xanthomonas	citri
Xanthomonas	codiaei
Xanthomonas	cucurbitae
Xanthomonas	cynarae
Xanthomonas	euvesicatoria
Xanthomonas	fuscans
Xanthomonas	gardneri
Xanthomonas	hyacinthi
Xanthomonas	melonis
Xanthomonas	oryzae
Xanthomonas	perforans
Xanthomonas	pisi
Xanthomonas	populi
Xanthomonas	sacchari
Xanthomonas	theicola
Xanthomonas	translucens
Xanthomonas	vasicola
Xanthomonas	vesicatoria
Xylella		fastidiosa
Xylophilus	ampelinus
