Site.ID,Tour.ID,AM_n,AM_b,AH_n,AP_n,AP_b,CM,H_n,H_b,H_iso,PP_n,PP_type,Site.name,Latitude,Longitude,Altitude.x,Air.temp,Air.humidity,Soil.temp,Soil.humidity,Pop_size,Tour_ID,Plant_ID,HpA_plant,Albugo,Necrosis,Used_for,Lat,Long,HpA_site,Altitude.y,Notes,,,,
P0002,SPS,2,1,2,2,1,1,1,1,NA,14,4,Vdc,38.04972,-5.0303,573,21.6,44,12,17.98,30,SPS,PA0001,0,NA,NA,M,38.04972,-5.0303,1,573,yelowish leaves,,,,
P0002,SPS,2,1,2,2,1,1,1,1,NA,14,4,Vdc,38.04972,-5.0303,573,21.6,44,12,17.98,30,SPS,PA0004,0,NA,NA,M,38.04972,-5.0303,1,573,,,,,
P0002,SPS,2,1,2,2,1,1,1,1,NA,14,4,Vdc,38.04972,-5.0303,573,21.6,44,12,17.98,30,SPS,PC0001,0,NA,NA,M,38.04972,-5.0303,1,573,,,,,
P0003,SPS,2,1,2,2,1,0,2,1,NA,20,1,Mon,38.06156,-4.38364,302,21.7,50.3,19.7,5.05,15,SPS,PA0007,0,NA,NA,M,38.06156,-4.38364,1,302,Original field picture was lost. bolting,,,,
P0003,SPS,2,1,2,2,1,0,2,1,NA,20,1,Mon,38.06156,-4.38364,302,21.7,50.3,19.7,5.05,15,SPS,PA0010,0,NA,NA,M,38.06156,-4.38364,1,302,Original field picture was lost. bolting,,,,
P0004,SPS,3,1,3,3,1,0,4,1,NA,19,2,Mar (Marmolejo),38.05736,-4.19318,213,31.6,33,24.3,2.89,5000,SPS,PA0013,0,NA,NA,M,38.05736,-4.19318,1,213,slightly bolitng,,,,
P0004,SPS,3,1,3,3,1,0,4,1,NA,19,2,Mar (Marmolejo),38.05736,-4.19318,213,31.6,33,24.3,2.89,5000,SPS,PA0016,0,NA,NA,M,38.05736,-4.19318,1,213,slightly bolting,,,,
P0004,SPS,3,1,3,3,1,0,4,1,NA,19,2,Mar (Marmolejo),38.05736,-4.19318,213,31.6,33,24.3,2.89,5000,SPS,PA0019,1,NA,NA,M,38.05736,-4.19318,1,213,yellow leaves. bolting,,,,
P0005,SPS,2,1,2,2,1,1,0,0,NA,20,1,Lso,38.85756,-3.16225,764,20.5,48.1,20.5,2.86,30,SPS,PA0022,0,NA,NA,M,38.85756,-3.16225,0,764,plant has been bitten many times,,,,
P0005,SPS,2,1,2,2,1,1,0,0,NA,20,1,Lso,38.85756,-3.16225,764,20.5,48.1,20.5,2.86,30,SPS,PA0025,0,NA,NA,M,38.85756,-3.16225,0,764,,,,,
